model,cv_seed,fold,balanced_accuracy,f1_macro,log_loss,roc_auc,fit_seconds
kanboost_e150_h4_s8_select80,33,2,0.5179738562091504,0.5078577336641853,0.7276047247036023,0.5490196078431373,1.4025949999995646
kanboost_e150_h4_s8_select80,33,3,0.5996732026143792,0.5996732026143792,0.6771037228574904,0.6111111111111112,1.8179343999981938
kanboost_e150_h4_s8_select80,33,4,0.5882352941176471,0.5882352941176471,0.6932038971022517,0.6055363321799307,1.7169728000008035
kanboost_e150_h4_s8_select80,33,5,0.5588235294117647,0.5584415584415584,0.6715802845353748,0.6297577854671281,1.6227060000019264
kanboost_e150_h4_s8_select80,44,1,0.5163398692810457,0.5126945126945127,0.7425289448979759,0.4901960784313726,1.6797797999970498
kanboost_e150_h4_s8_select80,44,2,0.5702614379084967,0.5700245700245701,0.6715295584713525,0.6045751633986929,1.686688599998888
kanboost_e150_h4_s8_select80,44,3,0.5686274509803921,0.56575682382134,0.6735487877141544,0.6078431372549019,1.7357730000003357
kanboost_e150_h4_s8_select80,44,4,0.5294117647058824,0.5277777777777778,0.7363935075035491,0.5432525951557095,1.6879551999991236
kanboost_e150_h4_s8_select80,44,5,0.47058823529411764,0.46875,0.7375118858792327,0.48096885813148793,1.497943900001701
kanboost_e150_h4_s8_select80,55,1,0.6290849673202614,0.6285714285714286,0.7252307000528097,0.5392156862745099,1.4348157999993418
kanboost_e150_h4_s8_select80,55,2,0.45588235294117646,0.45536445536445536,0.7418681062209338,0.4542483660130719,1.3731073000017204
kanboost_e150_h4_s8_select80,55,3,0.42810457516339867,0.42810457516339867,0.7757775062884255,0.45751633986928103,1.5530342999991262
kanboost_e150_h4_s8_select80,55,4,0.5882352941176471,0.5824561403508772,0.6333619921044749,0.6816608996539792,1.5134689000005892
kanboost_e150_h4_s8_select80,55,5,0.47058823529411764,0.46875,0.7010235620732109,0.5847750865051903,1.5494797000028484
